Id,target
0,0.1
1,0.1
2,0.1
4,0.1
8,0.1
11,0.1
12,0.1
13,0.1
14,0.1
19,0.1
20,0.1
21,0.1
23,0.1
25,0.1
26,0.1
27,0.1
28,0.1
29,0.1
32,0.1
33,0.1
37,0.1
38,0.1
39,0.1
40,0.1
42,0.1
44,0.1
46,0.1
47,0.1
48,0.1
55,0.1
58,0.1
59,0.1
60,0.1
61,0.1
62,0.1
63,0.1
66,0.1
71,0.1
73,0.1
76,0.1
77,0.1
78,0.1
79,0.1
81,0.1
82,0.1
83,0.1
85,0.1
87,0.1
89,0.1
90,0.1
92,0.1
93,0.1
98,0.1
102,0.1
104,0.1
107,0.1
108,0.1
111,0.1
112,0.1
114,0.1
116,0.1
118,0.1
121,0.1
123,0.1
124,0.1
130,0.1
132,0.1
135,0.1
140,0.1
142,0.1
143,0.1
144,0.1
148,0.1
149,0.1
151,0.1
152,0.1
154,0.1
155,0.1
156,0.1
159,0.1
162,0.1
165,0.1
166,0.1
168,0.1
170,0.1
172,0.1
173,0.1
175,0.1
179,0.1
180,0.1
181,0.1
188,0.1
190,0.1
191,0.1
192,0.1
193,0.1
195,0.1
196,0.1
197,0.1
200,0.1
201,0.1
202,0.1
203,0.1
204,0.1
205,0.1
208,0.1
209,0.1
210,0.1
214,0.1
217,0.1
218,0.1
219,0.1
220,0.1
224,0.1
226,0.1
227,0.1
228,0.1
232,0.1
233,0.1
234,0.1
235,0.1
237,0.1
240,0.1
241,0.1
242,0.1
243,0.1
248,0.1
249,0.1
251,0.1
252,0.1
253,0.1
254,0.1
255,0.1
256,0.1
257,0.1
259,0.1
260,0.1
263,0.1
264,0.1
265,0.1
266,0.1
268,0.1
270,0.1
273,0.1
276,0.1
278,0.1
281,0.1
282,0.1
283,0.1
284,0.1
286,0.1
287,0.1
289,0.1
291,0.1
292,0.1
298,0.1
301,0.1
302,0.1
305,0.1
308,0.1
310,0.1
312,0.1
313,0.1
316,0.1
318,0.1
319,0.1
320,0.1
322,0.1
323,0.1
326,0.1
327,0.1
330,0.1
336,0.1
337,0.1
338,0.1
340,0.1
341,0.1
343,0.1
345,0.1
347,0.1
350,0.1
351,0.1
355,0.1
356,0.1
357,0.1
358,0.1
359,0.1
361,0.1
362,0.1
363,0.1
364,0.1
366,0.1
368,0.1
369,0.1
370,0.1
374,0.1
376,0.1
377,0.1
379,0.1
381,0.1
385,0.1
387,0.1
389,0.1
390,0.1
391,0.1
394,0.1
395,0.1
397,0.1
398,0.1
401,0.1
405,0.1
406,0.1
407,0.1
409,0.1
410,0.1
411,0.1
412,0.1
414,0.1
416,0.1
417,0.1
419,0.1
420,0.1
422,0.1
426,0.1
428,0.1
433,0.1
434,0.1
436,0.1
441,0.1
443,0.1
444,0.1
445,0.1
448,0.1
450,0.1
451,0.1
452,0.1
453,0.1
454,0.1
455,0.1
456,0.1
462,0.1
463,0.1
464,0.1
467,0.1
468,0.1
474,0.1
477,0.1
478,0.1
479,0.1
481,0.1
482,0.1
483,0.1
484,0.1
489,0.1
491,0.1
495,0.1
498,0.1
499,0.1
500,0.1
504,0.1
506,0.1
507,0.1
509,0.1
510,0.1
511,0.1
516,0.1
518,0.1
522,0.1
523,0.1
526,0.1
529,0.1
531,0.1
537,0.1
538,0.1
539,0.1
541,0.1
543,0.1
544,0.1
545,0.1
546,0.1
547,0.1
548,0.1
549,0.1
551,0.1
554,0.1
555,0.1
557,0.1
561,0.1
562,0.1
563,0.1
564,0.1
567,0.1
570,0.1
572,0.1
573,0.1
575,0.1
576,0.1
579,0.1
580,0.1
581,0.1
582,0.1
586,0.1
587,0.1
589,0.1
593,0.1
594,0.1
596,0.1
602,0.1
606,0.1
608,0.1
613,0.1
617,0.1
618,0.1
622,0.1
623,0.1
624,0.1
626,0.1
630,0.1
634,0.1
636,0.1
638,0.1
641,0.1
643,0.1
644,0.1
646,0.1
647,0.1
649,0.1
652,0.1
654,0.1
655,0.1
656,0.1
658,0.1
661,0.1
663,0.1
667,0.1
668,0.1
671,0.1
672,0.1
674,0.1
677,0.1
679,0.1
681,0.1
682,0.1
688,0.1
689,0.1
690,0.1
691,0.1
692,0.1
693,0.1
694,0.1
695,0.1
696,0.1
697,0.1
698,0.1
702,0.1
703,0.1
705,0.1
706,0.1
709,0.1
712,0.1
716,0.1
719,0.1
720,0.1
724,0.1
726,0.1
728,0.1
729,0.1
730,0.1
732,0.1
734,0.1
735,0.1
736,0.1
737,0.1
738,0.1
739,0.1
740,0.1
741,0.1
744,0.1
752,0.1
754,0.1
755,0.1
756,0.1
757,0.1
760,0.1
763,0.1
765,0.1
768,0.1
769,0.1
770,0.1
773,0.1
774,0.1
775,0.1
779,0.1
780,0.1
781,0.1
782,0.1
784,0.1
785,0.1
786,0.1
787,0.1
789,0.1
790,0.1
795,0.1
797,0.1
798,0.1
801,0.1
804,0.1
805,0.1
806,0.1
807,0.1
808,0.1
809,0.1
811,0.1
818,0.1
819,0.1
822,0.1
823,0.1
824,0.1
